"English sentence","Swahili Translation"
"'I don't think it's at all a pity.","'Sidhani ni kwa huruma zote."
"There never is but one opportunity of a kind.","Kuna lakini kamwe ni moja nafasi ya aina."
"[Enter Sampson and Gregory armed with swords and bucklers.]","[Enter Sampson na Gregory wenye mapanga na ngao.]"
"(Applause)","(Makofi)"
"Don't tell me that we don't have the capacity to do it.","Usiniambie kuwa hatuna uwezo wa kulifanya."
"""Don't be a fool,"" said the Voice.","""Usiwe mpumbavu,"" alisema Voice."
"Or, if I live, is it not very like The horrible conceit of death and night, Together with the terror of the place,--","Au, kama mimi ni hai, si sana kama majivuno ya kutisha ya kifo na usiku, Pamoja na hofu ya mahali, -"
"I shall be all anxiety.""","Nitakuwa wote wasiwasi. """
"He'll crack a crib in Scotland one week, and be raising money to build an orphanage in Cornwall the next.","Atatoa ufa Crib katika Scotland wiki moja, na kuwa na kuongeza fedha kujenga kituo cha watoto yatima katika Cornwall ijayo."
"He slid back again into his earlier position.","Yeye slid tena katika nafasi yake ya awali."
"Then, again, I have heard it is no use your applying if your hair is light red, or dark red, or anything but real bright, blazing, fiery red.","Kisha, tena, nimesikia ni hakuna matumizi kutumia wako kama nywele yako ni nyekundu, au giza nyekundu, au kitu chochote lakini mkali kweli, mkali, moto nyekundu."
"""Is it your bill you're wanting, sir?"" she said.","""Je, ni bili yako wewe ni kutaka, sir?"" Alisema."
"How! will she none? doth she not give us thanks?","Jinsi! itakuwa yeye hakuna? anajua yeye si kutupa shukrani?"
"Or shall we on without apology?","Au tutakuwa sisi bila kuomba msamaha?"
"We were fain to button up our monkey jackets, and hold to our lips cups of scalding tea with our half frozen fingers.","Sisi Wanatafuta kwa kifungo juu yetu jackets tumbili, na kushikilia kwa vikombe wetu midomo ya scalding chai kwa vidole wetu nusu hao."
"However, she laid her finger to her lips and then quickly and silently indicated to the lodgers that they could come into Gregor's room.","Hata hivyo, yeye aliweka kidole chake kwa midomo yake na kisha haraka na kimya unahitajika kwa lodgers waweze kuja katika chumba Gregor ya."
"[Enter Watch, with the Page of Paris.]","[Enter Watch, na wa Kwanza wa Paris.]"
"It's a ghost, a ghost!","Ni mzimu, mzimu!"
"Nor what is mine shall never do thee good:","Wala yaliyo yangu kamwe kufanya yako nzuri:"
"PETER Pretty!--What say you, Hugh Rebeck?","PETER Pretty - kusema nini, wewe, Hugh Rebeck?"
"And yet it would be the blackest treachery to Holmes to draw back now from the part which he had intrusted to me.","Na bado itakuwa khiana blackest kwa Holmes kuteka nyuma sasa kutoka sehemu ambayo alikuwa intrusted kwangu."
"I get my day out once a month same as th' rest.","Mimi kupata siku yangu nje mara moja kwa mwezi sawa na wengine th '."
"I have held them in my open hand at such a time, and still their only care, obedient to their mother and their instinct, was to squat there without fear or trembling.","Mimi kuwaweka katika mkono wangu wa wazi kwa wakati huo, na bado wao tu huduma, mtiifu kwa mama yao na silika yao, ilikuwa squat huko bila hofu au kutetemeka."
"Presently a rioting noise was heard without.","Hivi sasa kelele maandamano bila ilisikika."
"Candy, sir?","Pipi, sir?"
"At last extinguishing the fire, he took the idol up very unceremoniously, and bagged it again in his grego pocket as carelessly as if he were a sportsman bagging a dead woodcock.","Wakati wa mwisho kuzimia moto, alichukua sanamu unceremoniously up sana, na walichukua ni tena katika mfuko wake grego kama ovyo kama angekuwa amekufa sportsman bagging woodcock."
"To hear true shrift.--Come, madam, let's away, [Exeunt Montague and Lady.]","Kusikia shrift kweli .-- Njoo, bibie, hebu mbali, [Exeunt Montague na Lady.]"
"Folding back the counterpane, I stooped over the bed.","Folding nyuma counterpane, mimi akainama juu ya kitanda."
"I have been feasting with mine enemy; Where, on a sudden, one hath wounded me","Nimekuwa karamu na adui yangu; wapi, kwa ghafla, na mmoja aliye na waliojeruhiwa mimi"
"It was not enough love from my dad, he was always busy and that kind of stuff, so.","Ni upendo wa kutosha kutoka kwa baba yangu, alikuwa siku zote busy na kwamba aina ya mambo, hivyo."
"Though news be sad, yet tell them merrily;","Ingawa habari kuwa na huzuni, lakini kuwaambia merrily;"
"'And washing?' said the Mock Turtle.","'Na kuosha?' Alisema Turtle Wamdhihaki."
"How can you reach inside and interact with the digital information using the full dexterity of our hands?","Unawezaje kufika ndani na kucheza na taarifa za kidigitali kwa kutumia miondoko kamili ya mikono yetu?"
"Mary cried.","Mary kelele."
"They would be different from the birds in India and it might amuse her to look at them.","Wawe tofauti na ndege katika India na inaweza amuse yake kuangalia yao."
"Baker Farm.","Baker Farm."
"The city has some of the most beautiful architecture in the world, but it also has one of the highest amounts of abandoned properties in America.","Mji huu una baadhi ya majengo ambayo ni mazuri sana katika dunia,lakini pia una namba kubwa ya majengo yaliyotelekezwa katika nchi ya Marekani"
"'I said pig,' replied Alice; 'and I wish you wouldn't keep appearing and vanishing so suddenly: you make one quite giddy.'","'I alisema nguruwe,' Alice alijibu; 'na napenda bila kuweka kuonekana na kutoweka hivyo ghafla: kufanya moja giddy kabisa."
"But then, when I found how I had betrayed myself, I began to think.","Lakini basi, mimi sikuona jinsi mimi alikuwa atakayemsaliti mwenyewe, mimi alianza kufikiri."
"They heard Marvel squeal like a caught leveret, and forthwith they were clambering over the bar to his rescue.","Usistaajabu waliposikia squeal kama leveret hawakupata, na mara walikuwa clambering juu ya bar ya kuwaokoa yake."
"We call it the 'Western Roman Empire'","Tunaiita Dola ya Kirumi ya Magharibi."
"Well, then, let's be off.","Vizuri, basi, hebu kuwa mbali."
"Dickon's curious blue eyes grew rounder and rounder.","Curious Dickon ya macho ya bluu ilikua rounder na rounder."
"I thought, as I have my living to get, and have not eaten to-day, that I might go a- fishing.","Mimi mawazo, kama mimi na uhai wangu, kupata, na si kuliwa hadi siku, ili go- uvuvi."
"Be in your chamber then at that hour, and do not take it amiss if your visitor wear a mask.""","Kuwa katika chumba yako basi katika saa ile, na wala kuchukua ni kibaya kama mgeni wako kuvaa mask. """
"So I put the lights. You can see at the back, those are the lion lights.","Niliweka hizo taa.unaweza kuona kwa nyuma,hizo ni taa za simba."
"""And I had never seen,"" he shouted; then suddenly bit his lip and frowned.","""Na sijawahi kuona,"" alisema kelele, kisha ghafla kidogo mdomo wake na kipaji."
"So I decided to drop out and trust that it would all work out OK.","Basi nikakata shauri kuachana na masomo nikiamini mambo yatakuwa shwari."
"The cell phone you are tring to reach is off.","Kiini simu wewe ni tring kufikia ni mbali."
"Alice did not much like keeping so close to her: first, because the Duchess was VERY ugly; and secondly, because she was exactly the right height to rest her chin upon","Alice hakuwa na kiasi kama kuweka hivyo karibu yake: kwanza, kwa sababu Duchess sana mbaya, na pili, kwa sababu alikuwa hasa urefu haki ya kupumzika kidevu yake juu ya"
"He remained staring about him, rotating slowly backwards.","Alikaa staring juu yake, kupokezana polepole nyuma."
"To be left till called for.""","Na kuwa kushoto mpaka kuitwa kwa ajili ya. """
"PARlS Beguil'd, divorced, wronged, spited, slain!","PARIS Beguil'd, talaka, kudhulumiwa, spited, wameuawa!"
"ROMEO 'Tis the way To call hers, exquisite, in question more:","Romeo 'tis njia na wito wa kwake, exquisite, katika swali zaidi:"
"""What happened to the roses?"" Mary asked again, more interested than ever. ""They was left to themselves.""","""Ni nini kilichotokea kwa roses?"" Mariamu akamwuliza tena, zaidi ya nia ya milele."
"""Who's moving on?"" said Mr. Marvel.","""Nani kuhama?"" Alisema Bw Usistaajabu."
"His grandfather was a royal duke, and he himself has been to Eton and Oxford.","Babu yake alikuwa duke wa kifalme, na yeye mwenyewe imekuwa Eton na Oxford."
"But why, after displaying so much cunning, did he invariably betray himself the moment he came up by that loud laugh?","Lakini kwa nini, baada ya kuonyesha kiasi ujanja, alifanya yeye mwenyewe invariably kumsaliti wakati yeye alikuja na kucheka kuwa kubwa?"
"This precious book of love, this unbound lover,","Hii kitabu thamani ya upendo, hii lover unbound,"
"""He is dead,"" cried several voices.","""Yeye ni wafu,"" kelele sauti kadhaa."
"In another moment Mr. Cuss was back in the parlour.","Wakati mwingine Mheshimiwa mzaha alikuwa nyuma katika Parlor."
"Martha said, going back to her hearth.","Martha alisema, kurejea makaa yake."
"On Venus, most of it is in the atmosphere.","Katika Zuhura, kaboni nyingi bado iko angani."
"Let this be a lesson to you never to lose YOUR temper!'","Basi hii ni fundisho kwa kamwe kupoteza hasira yako! '"
"And then I got fired.","Kisha nikafukuzwa kazini."
"Farewell, dear father.","Farewell, dear baba."
"Alas! it was too late to wish that!","Ole! ilikuwa ni kuchelewa mno na unataka kuwa!"
"The United States is one of the two largest emitters, along with China.","Marekani ni moja ya nchi mbili kubwa zinazotoa gesi joto, sambamba na China."
"Then there is no more to be done in the matter.","Basi hakuna zaidi ya kufanywa katika jambo."
"She worked and dug and pulled up weeds steadily, only becoming more pleased with her work every hour instead of tiring of it.","Alifanya kazi na kuchimbwa na vunjwa juu magugu kasi, tu kuwa zaidi radhi na kazi yake kila saa badala ya chovu yake."
"'It's the oldest rule in the book,' said the King.","'Ni utawala wa zamani katika kitabu,' alisema Mfalme."
"I protest unto thee,--","Mimi kupinga kwa kwako -"
"She gave me a good character, But said I could not swim.","Yeye alinipa tabia nzuri, Lakini alisema sikuweza kuogelea."
"Surely all this is not without meaning.","Hakika yote hii si isiyo na maana."
"But people like you really make college look undesirable.","Lakini watu kama wewe kweli kufanya chuo kuangalia undesirable."
"He pointed to the middle of the page.","Alisema katikati ya ukurasa."
"Perhaps his father noticed his good intentions, for he did not disrupt Gregor in this motion, but with the tip of the cane from a distance he even directed","Labda baba yake niliona dhamira yake nzuri, kwa hakuwa na kuharibu Gregor katika mwendo huu, lakini kwa ncha ya miwa kutoka umbali hata kwa madhumuni"
"NURSE Madam!","Muuguzi Madam!"
"Chapter I. Down the Rabbit-Hole","Sura ya I. Down Rabbit Hole-"
"I turned round from eyeing the bed, but he had disappeared.","Mimi aligeuka kutoka yakiangalia kitandani, lakini alikuwa na kutoweka."
"WALLEN; A.S. WALW-IAN, to roll, to wallow.""","WALLEN; AS WALW-Ian, kwa roll, kwa wallow ""-."
"It's colder here, right?","Ni baridi hapa, sawa?"
"""There now!"" she exclaimed, ""if that wasn't one of th' things mother said.","""Kuna sasa!"" Yeye akasema, ""kama kwamba hakuwa mmoja wa mama th 'vitu alisema."
"She's not going far away.","Yeye si kwenda mbali."
"""Here he is!"" said the barman.","""Hapa!"" Alisema barman."
"""Five attempts have been made.","""Majaribio Five yamefanywa."
"After that, tap on your keyboard to sync them with the video.","Swahili"
"You see, Mr. Manager, I am not pig-headed, and I am happy to work.","Unaweza kuona, Mheshimiwa Meneja, mimi si nguruwe-headed, na mimi ni furaha ya kufanya kazi."
"It looked as if the pair might take an immediate departure, and so necessitate very prompt and energetic measures on my part.","Ilikuwa inaonekana kama jozi inaweza kuchukua kuondoka mara moja, na hivyo mashurti haraka sana na juhudi hatua kwa upande wangu."
"Making them women of good carriage:","Maamuzi yao wanawake wa gari nzuri:"
"Dr. Kemp's scientific pursuits have made him a very observant man, and as he recrossed the hall, he noticed a dark spot on the linoleum near the mat at the foot of the stairs.","Dk Kemp wa shughuli za kisayansi kuwa alifanya naye mtu mwangalifu sana, na kama yeye recrossed ukumbi, yeye niliona giza doa linoleum karibu kitanda katika mguu wa ngazi."
"We will work together!""","Sisi kazi pamoja! """
"I'm glad that I understand you guys.","Nina furaha kwamba mimi kuelewa guys wewe."
"I'm a bit behind than the other girls, but being an idiot that you are, you won't understand what I mean, will you?","Mimi ni kidogo nyuma ya wasichana wengine, Lakini kuwa idiot kwamba wewe ni, huwezi kuelewa ninachomaanisha, je?"
"To comfort thee, though thou art banished.","Kwa faraja yako, ingawa wewe wametengwa."
"Do cats eat bats?' and sometimes,","Je paka kula bats '? Na wakati mwingine,"
"It was because it had been shut up so long that she wanted to see it.","Ni kwa sababu ilikuwa imefungwa juu ya muda mrefu kuwa anataka kuona."
"PETER Anon.","PETER Anon."
"I suppose I ought to eat or drink something or other; but the great question is, what?' The great question certainly was, what?","Mimi nadhani ni lazima kula au kunywa kitu au nyingine, lakini swali kubwa ni, nini swali kubwa alikuwa hivyo nini?"
"""Nothing to complain of, sir.","""Hakuna wa kulalamika, Mheshimiwa."
"That your eye was as steady as ever;","Kwamba jicho lako ni kama steady kama milele;"
"156 nations carry our television channel.","Nchi 156 zinarusha matangazo ya televisheni yetu."
"Some say the lark and loathed toad change eyes; O, now I would they had chang'd voices too!","Wengine wanasema Lark na waliowachukia macho mabadiliko ya chura; O, sasa napenda walikuwa chang'd sauti pia!"
"""I have nothing to do to-day.","""Nina kitu cha kufanya kwa siku."
"PRlNCE Then say at once what thou dost know in this.","PRINCE Kisha kusema mara moja unajua nini wewe katika hili."
"'Of course,' the Dodo replied very gravely.","'Bila shaka,' Dodo alijibu vikubwa sana."
"But it was the best part of two hours before any human being ventured out again into the desolation of Iping street. &gt;","Lakini ilikuwa ni sehemu bora ya saa mbili kabla ya binadamu yoyote ventured nje tena ukiwa wa Iping mitaani. &gt;"
"Say you are in the country; in some high land of lakes.","Sema wewe ni katika nchi, katika nchi baadhi ya juu ya maziwa."
"""Gondibert.""","""Gondibert."""
"Aye, well mightest thou fear the Lord God","Aye, pamoja na wewe uweze kujionea mwenyewe Bwana Mungu"
"Appear thou in the likeness of a sigh:","Wewe kuonekana katika mfano wa sigh:"
"SAMPSON Is the law of our side if I say ay?","Sampson Je, Sheria ya upande wetu kama mimi kusema ay?"
"So we need to question how to balance large projects, or what people believe to be development, with improving the quality of people's lives.","Kwa hiyo, tunataka kuhoji jinsi ya kuleta uwiano katika miradi mikubwa, au kile watu wanachoamini kuwa ndiyo maendeleo, kwa kukuza ubora wa maisha yao."
"I surprised you by beating upon the pavement with my stick.","Mimi kushangazwa na wewe kwa kumpiga juu ya lami na fimbo yangu."
"His manner was very sober and set; his bearing was that of a naturally taciturn man possessed by an idea.","Namna yake ilikuwa sana kiasi na kuweka; kuzaa wake ulikuwa ni wa kawaida nyamafu mtu mwenye wazo."
"Go, waken Juliet; go and trim her up; I'll go and chat with Paris:--hie, make haste,","Kwenda, waken Juliet; kwenda na trim yake juu; nitakwenda na kuzungumza na Paris: - hie, kufanya haraka,"
"If that thy bent of love be honourable, Thy purpose marriage, send me word to-morrow,","Kama hiyo bent wako wa upendo kwa heshima, wako madhumuni ndoa, tuma mimi neno kesho,"
"Give it a try at translate.google.com.","Jaribu kwenye translate.google.com."
"""How far off?""","Jinsi mbali mbali """
"Ben Weatherstaff laughed outright.","Ben Weatherstaff alicheka kabisa."
"I knew that this forgotten little street-end, abandoned like the dog that brought me there, was worth saving.","Nilijua kuwa huu mtaa mdogo uliosahauliwa, uliotupwa kama mbwa wangu aliyenileta hapaleo, ulikuwa na haki ya kusaidiwa."
"I have no joy of this contract to-night; It is too rash, too unadvis'd, too sudden;","Sina furaha ya hii ya mkataba na-usiku; Ni pia upele, pia unadvis'd, pia ghafla;"
"Well, we are both young and hopefully we will get along together well, because we need more experience.","Naam, sisi ni vijana na hopefully tutakuwa kupata pamoja pamoja pia, kwa sababu tunahitaji zaidi uzoefu."
"""Yesterday.""","""Jana."""
"For all his tattooings he was on the whole a clean, comely looking cannibal.","Kwa tattooings wake wote alikuwa juu ya wote safi, inafaa kuangalia cannibal."
"No matter how hard he threw himself onto his right side, he always rolled again onto his back.","Hakuna jambo jinsi ngumu akatupa mwenyewe kwenye upande wake wa kulia, daima akavingirisha tena kwenye nyuma yake."
"It was as he expected. The bed, the room also, was empty.","Ni kama ilivyotarajiwa. kitanda, chumba pia, ilikuwa tupu."
"I will go along: An if you leave me so, you do me wrong.","Nitakwenda pamoja: kama wewe kuondoka hivyo, kufanya mimi vibaya."
"Everything is affected.","Kila kitu kinaathirika."
"He made a sweeping bow to the three of us and walked quietly off in the custody of the detective.","Yeye alifanya upinde yanayojitokeza kwa sisi watatu na kutembea kimya kimya mbali katika ulinzi wa upelelezi."
"So the idea with online stores is to make it easier to find the right applications, and to make it easier for the developers to make money.","Hivyo wazo na maduka online ni kufanya iwe rahisi kupata maombi ya haki, na ili iwe rahisi kwa watengenezaji na kufanya fedha."
"How can you be so selfish?","Unawezaje kuwa hivyo ubinafsi?"
"She would rush to secure it. The alarm of fire was admirably done.","Angeweza kukimbilia kwa salama yake. kengele ya moto admirably kufanyika."
"It was against her will to marry me.","Ilikuwa dhidi yake mapenzi kuoa mimi."
"""Can tha' sew?""","""Je, tha 'kushona?"""
"Stay but a little, I will come again.","Kukaa lakini kidogo, nitakuja tena."
"'I--I'm a little girl,' said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day.","'I - Mimi ni msichana mdogo,' alisema Alice, badala doubtfully, kama alikumbuka idadi ya mabadiliko alikwenda kwa njia ya siku hiyo."
"Put a price on carbon.","Weka bei kwenye kaboni."
"The only two countries that didn't ratify","Nchi mbili pekee ambazo hazikuridhia"
"Alice looked all round her at the flowers and the blades of grass, but she did not see anything that looked like the right thing to eat or drink under the circumstances.","Alice akatazama pande zote wake kwa vile maua na nyasi, lakini yeye hakuwa na kuona kitu kwamba inaonekana kama jambo la haki ya kula au kunywa chini ya mazingira."
"We started Universal Subtitles because we believe every video on the web should be subtitle-able.","Swahili 1 Swahili 2"
"There is really no basis for the criticisms which you're now making against me, and really nobody has said a word to me about that.","Kuna kweli hakuna msingi wa upinzani ambao uko sasa kufanya juu yangu, na kweli hakuna mtu amesema neno na mimi kuhusu hilo."
"One more round, okay?","Moja zaidi pande zote, okay?"
"Perhaps it was because she had nothing whatever to do that she thought so much of the deserted garden.","Pengine ni kwa sababu yeye hakuwa na kitu chochote kwa kufanya hivyo alidhani kiasi ya bustani faragha."
"- Grandpa!","- Babu!"
"This is what's happened in the last 28 years.","Haya ndio yaliyotokea miaka 28 iliyopita."
"After six months, I couldn't see the value in it.","Baada ya muda wa miezi sita sikuona thamani ya masomo hayo."
"He chuckled to himself and rubbed his long, nervous hands together.","""Yeye mwenyewe na chuckled rubbed muda wake, neva mikono pamoja."
"SERVANT God gi' go-den.--I pray, sir, can you read?","Mtumishi wa Mungu GI 'go-pango .-- mimi kuomba, sir, unaweza kusoma?"
"""Very,"" he said.","""Sana,"" alisema."
"But Jaffers lay quite still, face upward and knees bent, at the foot of the steps of the inn. &gt;","Lakini Jaffers kuweka bado kabisa, zaidi uso na magoti bent, katika mguu wa hatua ya nyumba ya wageni. &gt;"
"In bespeaking his sea-outfit, he orders bell-buttons to his waistcoats; straps to his canvas trowsers.","Bespeaking wake katika bahari-outfit, yeye amri kengele kifungo kwa waistcoats yake; straps kwa canvas yake trowsers."
"""Then you may entirely rely on me.""","""Basi unaweza kabisa kutegemea yangu."""
"JULlET O God!--O nurse! how shall this be prevented?","Juliet Ee Mungu - O muuguzi! jinsi huyu atakuwa kuzuiwa?"
"That's three times."" ""My word!","Hiyo ni mara tatu. "" Neno langu!"
"'Sentence first--verdict afterwards.'","'Sentensi ya kwanza -. Uamuzi baadaye'!"
"45) has cut the debt has remained the same? the only ones I still have my doubts","45) zile ata mtu kwamba hajalipa alafu kakatwa vilevile hapo tu ndio mimi bado wasiwasi wangu"
"And the coal industries and the oil industries spent a quarter of a billion dollars in the last calendar year promoting clean coal, which is an oxymoron.","Na viwanda vya makaa ya mawe na viwanda vya mafuta vilitumia dola robo bilioni katika mwaka wa kalenda uliopita kutangaza makaa safi ya mawe, ambayo ni utatanishi."
"--BLACKSTONE.","- Blackstone."
"-some of them.""","-Baadhi yao. """
"No doubt there was a slight uneasiness in the air, but people for the most part had the sense to conceal whatever imaginative qualms they experienced.","Bila shaka kulikuwa na shaka kidogo katika hewa, lakini watu kwa sehemu kubwa na maana kuficha chochote kinyongo ubunifu wao na uzoefu."
"Nothing visible for miles except the bosom of Nature.","Hakuna inayoonekana kwa maili ila kifuani ya Nature."
"With Tybalt's slander,--Tybalt, that an hour Hath been my kinsman.--O sweet Juliet,","Pamoja na kashfa ya Tybalt, - Tybalt, kwamba saa amekuwa jamaa yangu .-- O tamu Juliet,"
"Pray, what is the reason of that?'","Kuomba, ni nini sababu ya kwamba?"
"Not at present, certainly.","Si kwa sasa, bila ya shaka."
"The community created an alternative transportation plan that allows for the removal of the highway.","Jumuia ilitengenza mpango wa mbadala wa usafiri ambao uliruhusu kuondolewa kwa njia kubwa."
"What d'yer mean by letting a man make a fool of himself like that for?","Nini d'yer maana kwa kuruhusu mtu kufanya mjinga wa nafsi yake kama kwamba kwa?"
"It was of a dark, purplish, yellow colour, here and there stuck over with large blackish looking squares.","Ni rangi ya giza, purplish, njano, hapa na pale juu ya kukwama kwa mraba kubwa blackish kuangalia."
"'Stolen!' the King exclaimed, turning to the jury, who instantly made a memorandum of the fact.","'Stolen!' Mfalme akasema, kugeuka kwa jury, ambaye mara moja alifanya mkataba la ukweli."
"She led him round the laurel path and to the walk where the ivy grew so thickly.","Yeye wakampeleka pande zote na kwa njia Laurel kutembea ambapo ivy ilikua hivyo thickly."
"Mary felt as if the drive would never come to an end and that the wide, bleak moor was a wide expanse of black ocean through which she was passing on a strip of dry land.","Mary waliona kama kama gari kamwe kuja na mwisho na kwamba kote, Moor na giza ilikuwa tandiko ya bahari nyeusi kwa njia ambayo yeye anapita juu ya ukanda wa nchi kavu."
"I'm in charge here now.","Mimi nina katika malipo hapa sasa."
"And let's think.","Na tufikirie"
"'But perhaps he can't help it,' she said to herself; 'his eyes are so VERY nearly at the top of his head.","'Lakini labda hawezi kusaidia, ""alisema na yeye mwenyewe;' macho yake ni karibu sana katika juu ya kichwa chake."
"She skipped down the walk toward him and he lifted his head and looked at her with a curious expression.","Yeye skipped chini kutembea kwake na alipoinua kichwa yake na kuangalia saa yake na curious kujieleza."
"Some word there was, worser than Tybalt's death, That murder'd me: I would forget it fain;","Baadhi ya neno kuna, worser kuliko kifo Tybalt, ili murder'd mimi napenda kusahau ni Wanatafuta;"
"'Keep your temper,' said the Caterpillar.","'Keep hasira yako, 'alisema Caterpillar."
"Later, however, they had to hold her back forcefully, and when she then cried ""Let me go to Gregor.","Baadaye, hata hivyo, walikuwa na kushikilia yake ya nyuma kwa nguvu, na wakati yeye basi kelele ""Acha! kwenda Gregor."
"Good night, good night! parting is such sweet sorrow","Usiku nzuri, nzuri usiku! zimefunguliwa ni tamu huzuni vile"
"Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary","Gottsreich Sigismond von Ormstein, Grand Duke wa Cassel-Felstein, na hereditary"
"O dear account! my life is my foe's debt.","O wapenzi akaunti! maisha yangu ni deni adui yangu."
"He started me off upon the letter A, and then he left me; but he would drop in from time to time to see that all was right with me.","Alianza mimi mbali juu ya barua, na kisha yeye kushoto kwangu, lakini bila kushuka katika kutoka mara kwa mara ili kuona kwamba yote yalikuwa sahihi na mimi."
"That Romeo bid thee fetch?","Kwamba Romeo jitihada yako kuchota?"
"china china light from china battery light","mchina mchina taa za kichina hizi betri"
"What's this, a flower garden?","Ni nini hii, bustani ya maua?"
"You pervert!","You kuipotosha!"
"""The door's shut.","""Mlango wa kufunga."
"""Griffin?"" said Kemp.","""Griffin?"" Alisema Kemp."
"She had wandered about long enough to feel too tired to wander any farther, and she turned back.","Alikuwa tanga kuhusu muda wa kutosha kwa kuhisi pia amechoka tanga yoyote mbali zaidi, na yeye akageuka nyuma."
"No. I'm not angry.","No mimi nina hasira."
"Unto my cell.","Kwa kiini yangu."
"Thy head is as full of quarrels as an egg is full of meat; and yet thy head hath been beaten as addle as an egg for quarrelling.","Kichwa chako ni kama kamili ya ugomvi kama yai ni kamili ya nyama, na bado kichwa yako ana imekuwa kupigwa kama addle kama yai kwa ugomvi."
"GREGORY Do you quarrel, sir?","Gregory Je, ugomvi, sir?"
"Nothing in the world is quite as adorably lovely as a robin when he shows off--and they are nearly always doing it.","Hakuna chochote katika dunia kabisa kama adorably lovely kama robin wakati inaonyesha mbali - na wao ni karibu mara nyingi kufanya hivyo."
"I must compliment you."" ""And I you,"" Holmes answered.","Mimi lazima pongezi wewe. "" Na mimi wewe, ""Holmes akajibu."
"Finis! the potent word that exorcises from the house of life the haunting shadow of fate.","Tamati! neno potent kwamba exorcises kutoka nyumba ya maisha kivuli haunting ya hatima."
"Sergei YOU ARE NOT GOlNG TO AMERlCA","Sergei Wewe si kwenda na Marekani"
"He knows my father.","Yeye anajua baba yangu."
"... and The Hand.... [audience applauses]","Utaona: Mimi! na Mkono!"
"To her surprise the surly old weather- beaten face actually changed its expression. A slow smile spread over it and the gardener looked quite different.","Kwa mshangao runda umri wa hali ya hewa-kupigwa uso kweli iliyopita yake kujieleza. tabasamu polepole kuenea juu yake na mkulima inaonekana tofauti kabisa."
"What happened.","Kile kilichotokea."
"The King looked anxiously at the White Rabbit, who said in a low voice, 'Your","Mfalme akatazama anxiously katika Rabbit White, ambaye alisema kwa sauti ya chini, 'yako"
"""Here they saw such huge troops of whales, that they were forced to proceed with a great deal of caution for fear they should run their ship upon them.""","""Hapa waliona askari hayo makubwa ya nyangumi, kwamba walikuwa wanalazimika kuendelea na kubwa mpango wa tahadhari kwa hofu wanapaswa kuendesha meli zao juu yao. """
"He invited me over at his house.","Akamwalika yangu juu katika nyumba yake."
"I'm just teaching my wife a lesson, like a real man!","Mimi tu kufundisha somo mke wangu, kama mtu halisi!"
"Yeah, he does look familiar.","Yeah, hajui kuangalia familiar."
"Here is the lower atmosphere.","Hapa ni anga za chini."
"He will be here any minute.","Yeye atakuwa hapa dakika yoyote."
"I think so too.","Nadhani hivyo pia."
"""It's time for thee to get up now,"" she said.","""Ni wakati wa wewe kupata hadi sasa,"" alisema alisema."
"Cool roofs are highly-reflective surfaces that don't absorb solar heat, and pass it on to the building or atmosphere.","Paa nzuri ambazo hazinyonyi joto la jua na kuipitsha kwenye jengo au hewa."
"I've had enough"" or something like that.","Nimepata kutosha ""au kitu kama hicho."
"To produce a district level disaster response plan.","Kuanzisha mpango wa kukabiliana na majanga katika ngazi ya wilaya"
"I'm gonna pray to God that our marriage is gonna last forever and we are going to spend to death and die in the same day.","Mimi nina gonna kuomba kwa Mungu kwamba ndoa yetu ni gonna mara milele na sisi ni kwenda kutumia kifo na kufa siku hiyo hiyo."
"Go visit the Prairies in June, when for scores on scores of miles you wade knee- deep among Tiger-lilies--what is the one charm wanting?--Water--there is not a drop of water there!","Kwenda kutembelea Prairies katika Juni, wakati kwa alama juu ya alama ya maili wade goti- kina kati ya maua-Tiger - nini charm moja kutaka - Maji - kuna hata tone ya maji hapo!"
"On the white wonder of dear Juliet's hand, And steal immortal blessing from her lips;","On ajabu nyeupe ya mkono wapenzi Juliet, na kuiba baraka milele kutoka midomo yake;"
"Thou wilt be taken.--Stay awhile;--Stand up; [Knocking.]","Utakacho kuchukuliwa Kukaa muda .--, - Simama, [. Kugonga]"
"'Ah! then yours wasn't a really good school,' said the Mock Turtle in a tone of great relief.","'Ah! basi yako wasn'ta mzuri shule, 'alisema Turtle Wamdhihaki katika sauti ya kubwa ya misaada."
"I'm just 17~","I am just 17 ~"
"""Spain--a great whale stranded on the shores of Europe.""","""Hispania - nyangumi kubwa stranded katika mwambao wa Ulaya."""
"And I started in our medical university, Karolinska Institute, an undergraduate course called Global Health.","Na nilianzia kwenye chuo chetu cha utabibu, Taasisi ya Karolinska, kozi ya shahada ya kwanza iliyoitwa Afya ya Ulimwengu."
"Miss Kim...","Miss Kim..."
"He sits here with us at the table and reads the newspaper quietly or studies his travel schedules.","Ameketi hapa kwetu katika meza ya wasomaji na gazeti kimya kimya au masomo ya kusafiri yake ratiba."
"Indian servants were commanded to do things, not asked.","Watumishi Hindi waliagizwa kufanya mambo, si aliuliza."
"Bohemia, not far from Carlsbad.","Bohemia, mbali na Carlsbad."
"But to himself so secret and so close, So far from sounding and discovery,","Lakini kwa mwenyewe hivyo siri na hivyo karibu, hivyo mbali na sounding na ugunduzi,"
